# SYNTHETIC demo — per-window popstats — gen_candidate_demo.py
window_id	chrom	start	end	pi	dxy_H1_H2	arrangement_FST_like	HWE_FIS	heterozygosity_obs	heterozygosity_exp
LRR01_W062	C_gar_LG28	7300000	7399999	0.005989	0.011988	0.78624	-0.12055	0.560275	0.49722
LRR01_W063	C_gar_LG28	7400000	7499999	0.006259	0.012866	0.727835	-0.069021	0.53451	0.499923
LRR01_W064	C_gar_LG28	7500000	7599999	0.005654	0.012169	0.75244	-0.0494	0.5247	0.503959
LRR01_W065	C_gar_LG28	7600000	7699999	0.005571	0.011709	0.747434	-0.071002	0.535501	0.49714
LRR01_W066	C_gar_LG28	7700000	7799999	0.006254	0.013268	0.770136	-0.10234	0.55117	0.495266
LRR01_W067	C_gar_LG28	7800000	7899999	0.005737	0.011992	0.797901	-0.097928	0.548964	0.497968
LRR01_W068	C_gar_LG28	7900000	7999999	0.005236	0.010531	0.76147	-0.110775	0.555388	0.496948
LRR01_W069	C_gar_LG28	8000000	8099999	0.005101	0.010192	0.679223	-0.058744	0.529372	0.495842
LRR01_W070	C_gar_LG28	8100000	8199999	0.005168	0.010939	0.756599	-0.072115	0.536057	0.503684
LRR01_W071	C_gar_LG28	8200000	8299999	0.006356	0.012994	0.644523	-0.107939	0.55397	0.497108
LRR01_W072	C_gar_LG28	8300000	8399999	0.005191	0.010615	0.799453	-0.072538	0.536269	0.503768
